encoding_set,num_jitters,tolerance,prediction,P,N
encoding/encoding3.pickle,nj:1,tol:0.1,T,0.0,310.0
encoding/encoding3.pickle,nj:1,tol:0.1,F,0.0,58.0
encoding/encoding3.pickle,nj:1,tol:0.2,T,0.0,155.0
encoding/encoding3.pickle,nj:1,tol:0.2,F,0.0,29.0
encoding/encoding3.pickle,nj:1,tol:0.3,T,4.0,155.0
encoding/encoding3.pickle,nj:1,tol:0.3,F,0.0,25.0
encoding/encoding3.pickle,nj:1,tol:0.4,T,16.0,142.0
encoding/encoding3.pickle,nj:1,tol:0.4,F,11.0,8.0
encoding/encoding3.pickle,nj:1,tol:0.5,T,14.0,50.0
encoding/encoding3.pickle,nj:1,tol:0.5,F,40.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.6,T,13.0,1.0
encoding/encoding3.pickle,nj:1,tol:0.6,F,54.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.7,T,7.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.7,F,104.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.8,T,7.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.8,F,166.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.9,T,7.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.9,F,177.0,0.0
encoding/encoding3.pickle,nj:1,tol:1.0,T,7.0,0.0
encoding/encoding3.pickle,nj:1,tol:1.0,F,177.0,0.0
