encoding_set,num_jitters,tolerance,prediction,P,N
encoding/encoding3.pickle,nj:1,tol:0.1,T,0.0,168.0
encoding/encoding3.pickle,nj:1,tol:0.1,F,0.0,36.0
encoding/encoding3.pickle,nj:1,tol:0.2,T,0.0,168.0
encoding/encoding3.pickle,nj:1,tol:0.2,F,0.0,36.0
encoding/encoding3.pickle,nj:1,tol:0.3,T,6.0,168.0
encoding/encoding3.pickle,nj:1,tol:0.3,F,0.0,29.0
encoding/encoding3.pickle,nj:1,tol:0.4,T,18.0,154.0
encoding/encoding3.pickle,nj:1,tol:0.4,F,12.0,8.0
encoding/encoding3.pickle,nj:1,tol:0.5,T,16.0,54.0
encoding/encoding3.pickle,nj:1,tol:0.5,F,43.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.6,T,15.0,1.0
encoding/encoding3.pickle,nj:1,tol:0.6,F,62.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.7,T,9.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.7,F,116.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.8,T,9.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.8,F,184.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.9,T,9.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.9,F,195.0,0.0
encoding/encoding3.pickle,nj:1,tol:1.0,T,9.0,0.0
encoding/encoding3.pickle,nj:1,tol:1.0,F,195.0,0.0
