encoding_set,num_jitters,tolerance,prediction,P,N
encoding/encoding3.pickle,nj:1,tol:0.1,T,0.0,168.0
encoding/encoding3.pickle,nj:1,tol:0.1,F,0.0,36.0
encoding/encoding3.pickle,nj:1,tol:0.2,T,0.0,168.0
encoding/encoding3.pickle,nj:1,tol:0.2,F,0.0,36.0
encoding/encoding3.pickle,nj:1,tol:0.3,T,7.0,168.0
encoding/encoding3.pickle,nj:1,tol:0.3,F,0.0,29.0
encoding/encoding3.pickle,nj:1,tol:0.4,T,27.0,154.0
encoding/encoding3.pickle,nj:1,tol:0.4,F,15.0,8.0
encoding/encoding3.pickle,nj:1,tol:0.5,T,33.0,54.0
encoding/encoding3.pickle,nj:1,tol:0.5,F,117.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.6,T,32.0,1.0
encoding/encoding3.pickle,nj:1,tol:0.6,F,171.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.7,T,23.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.7,F,181.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.8,T,11.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.8,F,193.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.9,T,9.0,0.0
encoding/encoding3.pickle,nj:1,tol:0.9,F,195.0,0.0
encoding/encoding3.pickle,nj:1,tol:1.0,T,9.0,0.0
encoding/encoding3.pickle,nj:1,tol:1.0,F,195.0,0.0
