encoding_set,num_jitters,tolerance,prediction,P,N
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.1,T,0.0,168.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.1,F,0.0,36.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.2,T,0.0,168.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.2,F,0.0,36.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.3,T,5.0,168.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.3,F,0.0,31.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.4,T,25.0,156.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.4,F,12.0,11.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.5,T,33.0,65.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.5,F,106.0,0.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.6,T,32.0,5.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.6,F,167.0,0.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.7,T,21.0,0.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.7,F,183.0,0.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.8,T,10.0,0.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.8,F,194.0,0.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.9,T,9.0,0.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.9,F,195.0,0.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:1.0,T,9.0,0.0
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:1.0,F,195.0,0.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.1,T,0.0,168.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.1,F,0.0,36.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.2,T,0.0,168.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.2,F,0.0,36.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.3,T,7.0,168.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.3,F,0.0,29.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.4,T,27.0,154.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.4,F,15.0,8.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.5,T,33.0,54.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.5,F,117.0,0.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.6,T,32.0,1.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.6,F,171.0,0.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.7,T,23.0,0.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.7,F,181.0,0.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.8,T,11.0,0.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.8,F,193.0,0.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.9,T,9.0,0.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.9,F,195.0,0.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:1.0,T,9.0,0.0
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:1.0,F,195.0,0.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.1,T,0.0,168.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.1,F,0.0,36.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.2,T,0.0,168.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.2,F,0.0,36.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.3,T,0.0,168.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.3,F,0.0,35.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.4,T,20.0,164.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.4,F,3.0,12.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.5,T,24.0,97.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.5,F,37.0,2.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.6,T,20.0,19.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.6,F,56.0,0.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.7,T,6.0,0.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.7,F,29.0,0.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.8,T,0.0,0.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.8,F,2.0,0.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.9,T,0.0,0.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.9,F,0.0,0.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:1.0,T,0.0,0.0
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:1.0,F,0.0,0.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.1,T,0.0,168.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.1,F,0.0,36.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.2,T,0.0,168.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.2,F,0.0,36.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.3,T,1.0,168.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.3,F,0.0,35.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.4,T,16.0,167.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.4,F,2.0,19.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.5,T,20.0,109.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.5,F,73.0,2.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.6,T,13.0,40.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.6,F,151.0,0.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.7,T,10.0,3.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.7,F,191.0,0.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.8,T,9.0,1.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.8,F,194.0,0.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.9,T,9.0,0.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.9,F,195.0,0.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:1.0,T,9.0,0.0
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:1.0,F,195.0,0.0
