encoding_set,num_jitters,tolerance,loading,encoding,comparing,total
encoding/encoding_nj1_150p.pickle,nj:1,tol:0.1,0.6834104061126709,397.134644985199,0.12285256385803225,397.9409079551697
encoding/encoding_nj1_150p.pickle,nj:1,tol:0.2,0.6916632652282714,393.91108036041254,0.12445259094238285,394.7271962165833
encoding/encoding_nj1_150p.pickle,nj:1,tol:0.3,0.6789860725402834,394.31315302848833,0.09863924980163573,395.09077835083013
encoding/encoding_nj1_150p.pickle,nj:1,tol:0.4,0.6887564659118653,394.987590789795,0.11868786811828615,395.79503512382524
encoding/encoding_nj1_150p.pickle,nj:1,tol:0.5,0.654630184173584,395.29497671127314,0.10683894157409668,396.0564458370209
encoding/encoding_nj1_150p.pickle,nj:1,tol:0.6,0.6648962497711184,394.5150804519654,0.08169603347778319,395.2616727352143
encoding/encoding_nj1_150p.pickle,nj:1,tol:0.7,0.6830122470855714,400.30260658264166,0.09830403327941896,401.0839228630066
encoding/encoding_nj1_150p.pickle,nj:1,tol:0.8,0.7009296417236327,403.425419330597,0.08410787582397458,404.2104568481447
encoding/encoding_nj1_150p.pickle,nj:1,tol:0.9,0.6668081283569336,402.9584352970124,0.09320974349975587,403.718453168869
encoding/encoding_nj1_150p.pickle,nj:1,tol:1.0,0.6926975250244141,398.37574172019964,0.10910892486572266,399.1775481700897
encoding/encoding_nj1_297p.pickle,nj:1,tol:0.1,0.6786737442016603,399.3444213867187,0.17335963249206535,400.1964547634125
encoding/encoding_nj1_297p.pickle,nj:1,tol:0.2,0.7039072513580324,398.262774705887,0.17669987678527824,399.1433818340303
encoding/encoding_nj1_297p.pickle,nj:1,tol:0.3,0.6834380626678465,397.43712925910967,0.16540002822875982,398.28596735000605
encoding/encoding_nj1_297p.pickle,nj:1,tol:0.4,0.6814460754394531,394.2213072776793,0.17779660224914556,395.0805499553681
encoding/encoding_nj1_297p.pickle,nj:1,tol:0.5,0.68839168548584,395.4193508625031,0.15133285522460938,396.25907540321367
encoding/encoding_nj1_297p.pickle,nj:1,tol:0.6,0.7054581642150881,400.7815575599671,0.18270349502563474,401.6697192192077
encoding/encoding_nj1_297p.pickle,nj:1,tol:0.7,0.6876378059387207,400.41118454933184,0.13940382003784182,401.238226175308
encoding/encoding_nj1_297p.pickle,nj:1,tol:0.8,0.7190008163452152,405.1467690467834,0.12656712532043465,405.99233698844887
encoding/encoding_nj1_297p.pickle,nj:1,tol:0.9,0.6907007694244387,395.4787960052491,0.149188756942749,396.318685531616
encoding/encoding_nj1_297p.pickle,nj:1,tol:1.0,0.6930720806121828,394.8738512992859,0.13275814056396484,395.6996815204618
encoding/encoding_nj1_30p.pickle,nj:1,tol:0.1,0.6999783515930177,394.96580600738525,0.10595870018005367,395.7717430591583
encoding/encoding_nj1_30p.pickle,nj:1,tol:0.2,0.6876156330108645,395.3524034023283,0.05876994132995606,396.09878897666937
encoding/encoding_nj1_30p.pickle,nj:1,tol:0.3,0.6941976547241211,394.4898364543917,0.07604432106018066,395.2600784301758
encoding/encoding_nj1_30p.pickle,nj:1,tol:0.4,0.6698849201202395,395.00633287429815,0.05584836006164549,395.73206615448
encoding/encoding_nj1_30p.pickle,nj:1,tol:0.5,0.6742634773254395,394.9291973114013,0.06545877456665036,395.6689195632935
encoding/encoding_nj1_30p.pickle,nj:1,tol:0.6,0.688478708267212,394.3791246414184,0.056798934936523424,395.12440228462236
encoding/encoding_nj1_30p.pickle,nj:1,tol:0.7,0.6873350143432619,394.97787332534796,0.06426119804382323,395.72946953773504
encoding/encoding_nj1_30p.pickle,nj:1,tol:0.8,0.7078466415405276,395.0376975536346,0.05485534667968752,395.8003995418548
encoding/encoding_nj1_30p.pickle,nj:1,tol:0.9,0.6886873245239261,393.5489742755888,0.05567646026611326,394.29333806037886
encoding/encoding_nj1_30p.pickle,nj:1,tol:1.0,0.6674776077270508,396.099781036377,0.046571969985961935,396.81383061408997
encoding/encoding_nj1_3p.pickle,nj:1,tol:0.1,0.6970219612121582,394.22491407394403,0.041895389556884766,394.96383142471313
encoding/encoding_nj1_3p.pickle,nj:1,tol:0.2,0.6975264549255373,394.574711084366,0.08426356315612793,395.35650110244734
encoding/encoding_nj1_3p.pickle,nj:1,tol:0.3,0.6747913360595703,394.6263253688812,0.051120042800903334,395.35223674774176
encoding/encoding_nj1_3p.pickle,nj:1,tol:0.4,0.6828525066375734,393.35487222671486,0.058513641357421875,394.09623837471
encoding/encoding_nj1_3p.pickle,nj:1,tol:0.5,0.6800758838653562,394.13166213035583,0.09161067008972172,394.9033486843112
encoding/encoding_nj1_3p.pickle,nj:1,tol:0.6,0.6914014816284181,394.92894697189314,0.045513629913330085,395.665862083435
encoding/encoding_nj1_3p.pickle,nj:1,tol:0.7,0.6751277446746824,394.1126911640167,0.037973880767822266,394.8257927894592
encoding/encoding_nj1_3p.pickle,nj:1,tol:0.8,0.6859471797943115,393.49257445335394,0.03857898712158202,394.2171006202697
encoding/encoding_nj1_3p.pickle,nj:1,tol:0.9,0.6714317798614503,396.0967893600464,0.04634833335876465,396.8145694732666
encoding/encoding_nj1_3p.pickle,nj:1,tol:1.0,0.7062056064605713,399.0590918064118,0.09206628799438475,399.8573637008669
