encoding_set,num_jitters,tolerance,loading,detecting,encoding,comparing,total
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.1,0.7014484405517578,378.8697855472564,4.4924674034118635,0.11970138549804688,5.313617229461669
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.2,0.6738622188568114,379.1818332672117,4.564812421798706,0.13220143318176272,5.37087607383728
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.3,0.6754574775695803,382.0397272109987,4.347526788711549,0.15203309059143064,5.175017356872559
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.4,0.6898853778839111,377.2573933601381,4.491433858871461,0.10243368148803714,5.283752918243409
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.5,0.6467580795288086,380.31674265861534,4.281125545501709,0.1156344413757324,5.04351806640625
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.6,0.6847946643829346,376.7317931652069,4.563624382019041,0.09382939338684082,5.342248439788818
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.7,0.6764221191406253,378.68786859512323,4.347136974334716,0.08848476409912111,5.112043857574463
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.8,0.6665914058685305,381.7461278438568,4.351027727127076,0.10460305213928224,5.122222185134889
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:0.9,0.6745002269744876,379.9580016136169,4.5501272678375235,0.0852630138397217,5.309890508651733
encoding/encoding_cnn_nj1_150p.pickle,nj:1,tol:1.0,0.661007881164551,377.61036396026634,4.4790122509002686,0.09180617332458496,5.231826305389405
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.1,0.6667892932891846,382.5927619934082,4.262620449066161,0.1667339801788331,5.09614372253418
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.2,0.6987488269805909,379.6560547351837,4.48434329032898,0.18379449844360354,5.366886615753173
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.3,0.6623752117156982,378.3615005016327,4.344163656234742,0.16085481643676758,5.167393684387206
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.4,0.6785700321197512,379.4028930664063,4.404497385025024,0.18799972534179685,5.271067142486571
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.5,0.6973614692687989,383.065724372864,4.398570060729981,0.1432206630706787,5.239152193069459
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.6,0.689934730529785,374.8222260475159,4.3553218841552725,0.12873315811157232,5.173989772796631
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.7,0.6826710700988767,378.38242006301897,4.475278615951537,0.13259243965148926,5.290542125701903
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.8,0.6905519962310791,383.5228908061982,4.317930459976197,0.14203333854675296,5.150515794754028
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:0.9,0.6636402606964111,381.3265023231507,4.430510997772218,0.16147446632385254,5.2556257247924805
encoding/encoding_cnn_nj1_297p.pickle,nj:1,tol:1.0,0.6692976951599121,382.898517370224,4.3971431255340585,0.175112247467041,5.241553068161012
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.1,0.6837270259857177,377.9442992210388,4.421717882156371,0.08187150955200198,5.187316417694092
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.2,0.6577992439270021,380.9918630123138,4.340717792510987,0.054104566574096666,5.052621603012086
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.3,0.6476056575775149,381.4239268302918,4.450550317764282,0.06282138824462892,5.1609773635864284
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.4,0.6814072132110596,380.7737545967104,4.619394540786744,0.05916905403137205,5.359970808029174
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.5,0.6840398311614989,375.19573473930376,4.4556102752685565,0.055731534957885735,5.19538164138794
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.6,0.6428806781768799,374.0524096488953,4.450674295425412,0.07402539253234866,5.1675803661346436
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.7,0.6651515960693357,374.5888330936432,4.359647512435913,0.07055091857910152,5.095350027084352
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.8,0.6922550201416013,374.90946817398077,4.677022218704222,0.07593011856079104,5.445207357406617
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:0.9,0.682753086090088,374.5547158718109,4.472343444824218,0.056404113769531264,5.211500644683838
encoding/encoding_cnn_nj1_30p.pickle,nj:1,tol:1.0,0.6954703330993653,374.2689123153687,4.581354141235352,0.05571699142456053,5.3325414657592765
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.1,0.6771762371063232,375.59165000915533,4.587960004806519,0.08073878288269047,5.345875024795532
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.2,0.6846895217895507,373.8127431869509,4.429662227630616,0.08079862594604491,5.195150375366212
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.3,0.6519610881805418,373.95672440528864,4.427908658981324,0.05183267593383791,5.131702423095702
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.4,0.6841731071472169,374.70152449607855,4.626065969467162,0.054150104522705085,5.364389181137086
encoding/encoding_cnn_nj1_3p.pickle,nj:1,tol:0.5,0.6779789924621584,375.5974571704865,4.3410005569458034,0.07008647918701176,5.089066028594969
