encoding_set,num_jitters,tolerance,loading,encoding,comparing,total
encoding/encoding3.pickle,nj:1,tol:0.1,0.6789786815643313,403.66046714782686,0.16450762748718262,404.50395345687866
encoding/encoding3.pickle,nj:1,tol:0.2,0.6694591045379639,403.0401396751403,0.16799449920654294,403.87759327888506
encoding/encoding3.pickle,nj:1,tol:0.3,0.6869864463806155,401.96035957336426,0.16047120094299314,402.8078172206879
encoding/encoding3.pickle,nj:1,tol:0.4,0.6613996028900149,402.0289692878723,0.14491987228393555,402.8352887630463
encoding/encoding3.pickle,nj:1,tol:0.5,0.6643643379211426,402.8196415901184,0.14228701591491694,403.62629294395447
encoding/encoding3.pickle,nj:1,tol:0.6,0.6533498764038086,405.0760719776153,0.13008880615234375,405.85951066017145
encoding/encoding3.pickle,nj:1,tol:0.7,0.6886303424835205,407.1110398769378,0.12562918663024905,407.9252994060517
encoding/encoding3.pickle,nj:1,tol:0.8,0.6780662536621094,406.8410360813141,0.12443304061889653,407.64353537559515
encoding/encoding3.pickle,nj:1,tol:0.9,0.6818325519561771,402.37995576858526,0.14453983306884766,403.2063281536103
encoding/encoding3.pickle,nj:1,tol:1.0,0.6967976093292239,399.00661063194275,0.16908168792724607,399.87248992919916
